q[nm-1] time=2017-08-25T18:23:53.458387+0200|I_title=NSH2_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
1.4933100000e+00 3.8609300000e-03 9.3852568965e-05 
1.4970300000e+00 3.9567500000e-03 9.3938689883e-05 
1.5007400000e+00 3.8362900000e-03 9.3449384962e-05 
1.5044600000e+00 3.7388400000e-03 9.3008998377e-05 
1.5081800000e+00 3.6321700000e-03 9.2586973795e-05 
1.5119000000e+00 3.7547400000e-03 9.2896053507e-05 
1.5156200000e+00 3.8450100000e-03 9.3110155805e-05 
1.5193400000e+00 3.8466500000e-03 9.3035091613e-05 
1.5230600000e+00 3.8723300000e-03 9.2982857688e-05 
1.5267800000e+00 3.9002200000e-03 9.2855498425e-05 
1.5305000000e+00 3.9490800000e-03 9.2948634068e-05 
1.5342200000e+00 3.9239600000e-03 9.2794474369e-05 
1.5379400000e+00 3.9358500000e-03 9.2659049914e-05 
1.5416600000e+00 3.8072000000e-03 9.2092724149e-05 
1.5453800000e+00 3.7353800000e-03 9.1755565935e-05 
1.5491000000e+00 3.8291800000e-03 9.1985209189e-05 
1.5528200000e+00 3.8087200000e-03 9.1825302914e-05 
1.5565300000e+00 3.7548600000e-03 9.1529529782e-05 
1.5602500000e+00 3.6978200000e-03 9.1328752856e-05 
1.5639700000e+00 3.7270900000e-03 9.1288220769e-05 
1.5676900000e+00 3.7599600000e-03 9.1315954428e-05 
1.5714100000e+00 3.8050900000e-03 9.1406383173e-05 
1.5751300000e+00 3.8007800000e-03 9.1198695654e-05 
1.5788500000e+00 3.9518200000e-03 9.1513694031e-05 
1.5825700000e+00 3.9839100000e-03 9.1610873191e-05 
1.5862900000e+00 3.8511400000e-03 9.1143939293e-05 
1.5900100000e+00 3.6531400000e-03 9.0322235506e-05 
1.5937300000e+00 3.7736600000e-03 9.0500857308e-05 
1.5974500000e+00 3.9668800000e-03 9.0926145696e-05 
