q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
7.4200400000e-01 2.2101530000e-03 4.9737570454e-05 
7.4572300000e-01 2.3141580000e-03 4.9749246528e-05 
7.4944300000e-01 2.3817360000e-03 4.9691132290e-05 
7.5316200000e-01 2.3286930000e-03 4.9480479597e-05 
7.5688100000e-01 2.3681340000e-03 4.9308073280e-05 
7.6060100000e-01 2.4759280000e-03 4.9325215064e-05 
7.6432000000e-01 2.3922430000e-03 4.9212428193e-05 
7.6803900000e-01 2.4006340000e-03 4.9103150749e-05 
7.7175900000e-01 2.4035210000e-03 4.8911707402e-05 
7.7547800000e-01 2.4504920000e-03 4.8803243124e-05 
7.7919700000e-01 2.5387020000e-03 4.8948783253e-05 
7.8291600000e-01 2.5185610000e-03 4.8796425874e-05 
7.8663600000e-01 2.4830930000e-03 4.8575653710e-05 
7.9035500000e-01 2.5489550000e-03 4.8441845479e-05 
7.9407400000e-01 2.5179460000e-03 4.8270175620e-05 
7.9779400000e-01 2.5684850000e-03 4.8209483443e-05 
8.0151300000e-01 2.6079770000e-03 4.8158181733e-05 
8.0523200000e-01 2.5626470000e-03 4.7994635659e-05 
8.0895200000e-01 2.5646890000e-03 4.7851853241e-05 
8.1267100000e-01 2.5795400000e-03 4.7760100899e-05 
8.1639000000e-01 2.5940210000e-03 4.7713945644e-05 
8.2011000000e-01 2.6986790000e-03 4.7698725599e-05 
8.2382900000e-01 2.6739930000e-03 4.7560697771e-05 
8.2754800000e-01 2.7236780000e-03 4.7522454191e-05 
8.3126800000e-01 2.7228160000e-03 4.7467287516e-05 
8.3498700000e-01 2.7196520000e-03 4.7309791073e-05 
8.3870600000e-01 2.7344630000e-03 4.7191355933e-05 
8.4242600000e-01 2.6684300000e-03 4.7097669367e-05 
8.4614500000e-01 2.6615060000e-03 4.6939188346e-05 
8.4986400000e-01 2.7612720000e-03 4.6889066930e-05 
8.5358400000e-01 2.7892950000e-03 4.7085922751e-05 
8.5730300000e-01 2.8000640000e-03 4.6990389208e-05 
