q[nm-1] (time=2017-08-27T11:27:39.330466+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:40.545153+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.318206+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.978510+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:42.864010+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:43.631777+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:44.403655+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.176872+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.950328+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:47.272715+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/10 
1.9480600000e+00 4.1359920000e-03 1.3042494386e-05 
1.9573500000e+00 4.1615050000e-03 1.3172870608e-05 
1.9666500000e+00 4.1719980000e-03 1.3345876354e-05 
1.9759500000e+00 4.1558360000e-03 1.3234298925e-05 
1.9852500000e+00 4.1602270000e-03 1.3712534407e-05 
1.9945500000e+00 4.1733700000e-03 1.3896874061e-05 
2.0038500000e+00 4.1583150000e-03 1.3825123402e-05 
2.0131500000e+00 4.1515180000e-03 1.4873921268e-05 
2.0224400000e+00 4.1518970000e-03 1.4140662760e-05 
2.0317400000e+00 4.1667500000e-03 1.4275013019e-05 
2.0410400000e+00 4.1595870000e-03 1.4895917449e-05 
2.0503400000e+00 4.1464990000e-03 1.4808628861e-05 
2.0596400000e+00 4.1362380000e-03 1.4935659439e-05 
2.0689400000e+00 4.1428600000e-03 1.5821716125e-05 
2.0782400000e+00 4.1619740000e-03 1.5774452753e-05 
2.0875300000e+00 4.1877060000e-03 1.5658930141e-05 
2.0968300000e+00 4.1668950000e-03 1.6292452647e-05 
2.1061300000e+00 4.1612170000e-03 1.6140347068e-05 
2.1154300000e+00 4.1510780000e-03 1.6512376748e-05 
2.1247300000e+00 4.1493150000e-03 1.6459452636e-05 
2.1340300000e+00 4.1500520000e-03 1.7853308746e-05 
2.1433300000e+00 4.1150800000e-03 1.6878704719e-05 
2.1526200000e+00 4.1160410000e-03 1.7221177245e-05 
2.1619200000e+00 4.1363930000e-03 2.0044262665e-05 
2.1712200000e+00 4.1481830000e-03 1.7807629675e-05 
2.1805200000e+00 4.1733550000e-03 1.9568374559e-05 
2.1898200000e+00 4.1453000000e-03 1.8525092317e-05 
2.1991200000e+00 4.1450190000e-03 2.0613061241e-05 
2.2084200000e+00 4.1623430000e-03 2.0147277715e-05 
2.2177100000e+00 4.1446450000e-03 1.9439917799e-05 
2.2270100000e+00 4.1270650000e-03 2.1412298803e-05 
2.2363100000e+00 4.1310150000e-03 2.4515852429e-05 
2.2456100000e+00 4.0996090000e-03 2.1202763754e-05 
2.2549100000e+00 4.1420900000e-03 2.3590793235e-05 
2.2642100000e+00 4.1590620000e-03 2.2498245302e-05 
2.2735100000e+00 4.1343440000e-03 2.6284786329e-05 
2.2828000000e+00 4.1371040000e-03 2.3459648201e-05 
2.2921000000e+00 4.1289540000e-03 2.6907357324e-05 
2.3014000000e+00 4.1300780000e-03 2.5088607089e-05 
2.3107000000e+00 4.1284170000e-03 2.8042193494e-05 
2.3200000000e+00 4.1101060000e-03 2.8055365858e-05 
2.3293000000e+00 4.0872010000e-03 2.6191449298e-05 
2.3386000000e+00 4.1347200000e-03 2.6889414022e-05 
2.3479000000e+00 4.2101650000e-03 3.1496853859e-05 
2.3571900000e+00 4.1639850000e-03 2.8222658134e-05 
2.3664900000e+00 4.1151190000e-03 3.3213575092e-05 
2.3757900000e+00 4.1014150000e-03 2.9963376248e-05 
2.3850900000e+00 4.0898560000e-03 3.6498516276e-05 
