Q(1/nm) CTAB200_norm_minus_branco1_norm.dat 
4.0367126E+00 9.7768069E+05 
4.0448093E+00 9.7238619E+05 
4.0529051E+00 9.7779781E+05 
4.0610018E+00 9.7628950E+05 
4.0690980E+00 1.0031054E+06 
4.0771942E+00 1.0038222E+06 
4.0852904E+00 9.9348819E+05 
4.0933867E+00 9.9889731E+05 
4.1014833E+00 9.9471706E+05 
4.1095791E+00 9.8069906E+05 
4.1176758E+00 9.5736631E+05 
4.1257715E+00 1.0149046E+06 
4.1338682E+00 9.9176756E+05 
4.1419644E+00 1.0123178E+06 
4.1500607E+00 1.0092786E+06 
4.1581569E+00 1.0055468E+06 
4.1662531E+00 9.5685319E+05 
4.1743493E+00 9.3806538E+05 
4.1824455E+00 9.8597462E+05 
4.1905417E+00 1.0065096E+06 
4.1986384E+00 9.5479038E+05 
4.2067347E+00 9.9776319E+05 
4.2148309E+00 9.7176631E+05 
4.2229271E+00 1.0178603E+06 
4.2310233E+00 1.0078544E+06 
4.2391195E+00 9.8367600E+05 
4.2472157E+00 1.0021879E+06 
4.2553120E+00 1.0314995E+06 
4.2634082E+00 1.0172101E+06 
4.2715044E+00 9.8791800E+05 
4.2796011E+00 9.9216288E+05 
4.2876973E+00 1.0155586E+06 
4.2957935E+00 9.7762394E+05 
4.3038898E+00 1.0136488E+06 
4.3119860E+00 9.9709344E+05 
4.3200822E+00 1.0225968E+06 
4.3281784E+00 1.0407879E+06 
4.3362746E+00 1.0315574E+06 
4.3443708E+00 9.9414019E+05 
4.3524671E+00 1.0053455E+06 
4.3605638E+00 1.0440191E+06 
4.3686600E+00 1.0289196E+06 
4.3767562E+00 1.0103808E+06 
4.3848524E+00 1.0450612E+06 
4.3929486E+00 1.0200025E+06 
4.4010448E+00 1.0450876E+06 
4.4091411E+00 1.0032658E+06 
4.4172373E+00 1.0269249E+06 
4.4253335E+00 1.0239234E+06 
4.4334297E+00 1.0102812E+06 
4.4415264E+00 1.0046708E+06 
4.4496226E+00 1.0286060E+06 
4.4577188E+00 1.0416738E+06 
4.4658151E+00 1.0189117E+06 
4.4739113E+00 1.0139449E+06 
4.4820075E+00 9.6385006E+05 
4.4901037E+00 9.6495012E+05 
4.4981999E+00 1.0207348E+06 
4.5062962E+00 1.0035022E+06 
4.5143924E+00 1.0124046E+06 
4.5224891E+00 1.0449786E+06 
4.5305853E+00 9.9136075E+05 
4.5386815E+00 1.0085506E+06 
4.5467777E+00 1.0347853E+06 
4.5548739E+00 1.0016494E+06 
4.5629702E+00 1.0211238E+06 
4.5710664E+00 1.0068538E+06 
4.5791626E+00 1.0284511E+06 
4.5872588E+00 1.0098264E+06 
4.5953555E+00 1.0526249E+06 
4.6034517E+00 9.8906588E+05 
4.6115479E+00 9.8418219E+05 
4.6196442E+00 1.0035355E+06 
4.6277404E+00 1.0229955E+06 
4.6358366E+00 9.8025400E+05 
4.6439328E+00 1.0249922E+06 
4.6520290E+00 1.0405222E+06 
4.6601253E+00 1.0538774E+06 
4.6682215E+00 1.0079639E+06 
4.6763182E+00 1.0380188E+06 
4.6844144E+00 1.0321321E+06 
4.6925106E+00 9.8503412E+05 
4.7006068E+00 1.0017264E+06 
4.7087030E+00 1.0224801E+06 
4.7167993E+00 1.0798098E+06 
4.7248955E+00 1.0478781E+06 
4.7329917E+00 1.0575015E+06 
4.7410879E+00 1.0340389E+06 
4.7491841E+00 1.0007196E+06 
4.7572808E+00 1.0325224E+06 
4.7653770E+00 1.0566369E+06 
4.7734733E+00 1.0406454E+06 
4.7815695E+00 1.0274914E+06 
4.7896657E+00 1.0373314E+06 
4.7977619E+00 1.0002340E+06 
4.8058581E+00 1.0511544E+06 
4.8139544E+00 1.0181044E+06 
4.8220506E+00 1.0195857E+06 
4.8301468E+00 1.0162206E+06 
4.8382435E+00 1.0037424E+06 
4.8463397E+00 1.0311090E+06 
4.8544359E+00 1.0312994E+06 
4.8625321E+00 1.0104773E+06 
4.8706284E+00 1.0200995E+06 
4.8787246E+00 1.0060110E+06 
4.8868208E+00 1.0879908E+06 
4.8949170E+00 1.0323805E+06 
4.9030132E+00 1.1108141E+06 
4.9111094E+00 1.0607122E+06 
4.9192061E+00 1.0365326E+06 
4.9273024E+00 1.0092759E+06 
4.9353986E+00 1.0118291E+06 
4.9434948E+00 1.0325437E+06 
4.9515910E+00 1.0361030E+06 
4.9596872E+00 9.5924531E+05 
4.9677835E+00 9.7441212E+05 
4.9758797E+00 1.0910392E+06 
4.9839759E+00 9.7473669E+05 
4.9920721E+00 9.7779381E+05 
5.0001688E+00 1.1042545E+06 
5.0082650E+00 1.0496196E+06 
5.0163612E+00 1.1146144E+06 
5.0244575E+00 1.1105359E+06 
5.0325537E+00 1.0406646E+06 
5.0406499E+00 1.0638838E+06 
5.0487461E+00 9.4412562E+05 
5.0568423E+00 9.5824325E+05 
5.0649385E+00 1.6038811E+06 
