Q(1/nm) DTAB200a_norm_minus_branco1_norm.dat 
4.9434948E+00 9.6163638E+05 
4.9515910E+00 9.1415450E+05 
4.9596872E+00 9.0737419E+05 
4.9677835E+00 8.9554138E+05 
4.9758797E+00 9.5404012E+05 
4.9839759E+00 9.7469262E+05 
4.9920721E+00 9.6041075E+05 
5.0001688E+00 1.1202748E+06 
5.0082650E+00 1.0590595E+06 
5.0163612E+00 1.1373659E+06 
5.0244575E+00 1.0301406E+06 
5.0325537E+00 1.0358088E+06 
5.0406499E+00 1.0237449E+06 
5.0487461E+00 1.2910280E+06 
5.0568423E+00 1.1759084E+06 
5.0649385E+00 9.0222069E+05 
