Q(1/nm) TTAB30045P_50_norm_minus_branco1_norm.dat 
4.1662531E+00 -8.4438081E+05 
4.1743493E+00 -8.2277375E+05 
4.1824455E+00 -8.1830456E+05 
4.1905417E+00 -8.2311706E+05 
4.1986384E+00 -8.2542081E+05 
4.2067347E+00 -8.2742212E+05 
4.2148309E+00 -8.0694775E+05 
4.2229271E+00 -8.2617900E+05 
4.2310233E+00 -8.2750500E+05 
4.2391195E+00 -8.2130175E+05 
4.2472157E+00 -8.2049350E+05 
4.2553120E+00 -8.2476688E+05 
4.2634082E+00 -8.1275206E+05 
4.2715044E+00 -8.0535519E+05 
4.2796011E+00 -8.2155838E+05 
4.2876973E+00 -7.9442231E+05 
4.2957935E+00 -7.8771212E+05 
4.3038898E+00 -7.8133012E+05 
4.3119860E+00 -7.8444725E+05 
4.3200822E+00 -7.6756775E+05 
4.3281784E+00 -7.7552675E+05 
4.3362746E+00 -7.6399606E+05 
4.3443708E+00 -7.6529819E+05 
4.3524671E+00 -7.7142912E+05 
4.3605638E+00 -7.6140156E+05 
4.3686600E+00 -7.5123338E+05 
4.3767562E+00 -7.4664712E+05 
4.3848524E+00 -7.5440331E+05 
4.3929486E+00 -7.3883638E+05 
4.4010448E+00 -7.2986838E+05 
4.4091411E+00 -7.3140194E+05 
4.4172373E+00 -7.3563975E+05 
4.4253335E+00 -7.2444375E+05 
4.4334297E+00 -7.0375312E+05 
4.4415264E+00 -7.1116750E+05 
4.4496226E+00 -7.1478856E+05 
4.4577188E+00 -7.1348956E+05 
4.4658151E+00 -7.0373194E+05 
4.4739113E+00 -7.0199350E+05 
4.4820075E+00 -7.0564138E+05 
4.4901037E+00 -7.0818925E+05 
4.4981999E+00 -6.8880038E+05 
4.5062962E+00 -6.8664231E+05 
4.5143924E+00 -6.6863469E+05 
4.5224891E+00 -6.4361431E+05 
4.5305853E+00 -6.7447206E+05 
4.5386815E+00 -6.6121912E+05 
4.5467777E+00 -6.4727881E+05 
4.5548739E+00 -6.4194944E+05 
4.5629702E+00 -6.1790500E+05 
4.5710664E+00 -6.4849006E+05 
4.5791626E+00 -6.4363819E+05 
4.5872588E+00 -6.4746594E+05 
4.5953555E+00 -6.5093912E+05 
4.6034517E+00 -6.1952625E+05 
4.6115479E+00 -6.4250819E+05 
4.6196442E+00 -6.1049369E+05 
4.6277404E+00 -6.1357581E+05 
4.6358366E+00 -6.0259325E+05 
4.6439328E+00 -6.1297438E+05 
4.6520290E+00 -6.0708225E+05 
4.6601253E+00 -6.0024788E+05 
4.6682215E+00 -6.0366844E+05 
4.6763182E+00 -5.9903388E+05 
4.6844144E+00 -5.8962719E+05 
4.6925106E+00 -5.7569019E+05 
4.7006068E+00 -5.9568375E+05 
4.7087030E+00 -5.6694606E+05 
4.7167993E+00 -5.3926088E+05 
4.7248955E+00 -5.5829844E+05 
4.7329917E+00 -5.5906681E+05 
4.7410879E+00 -5.3426125E+05 
4.7491841E+00 -5.4049106E+05 
4.7572808E+00 -5.2784212E+05 
4.7653770E+00 -5.1611572E+05 
4.7734733E+00 -5.3938119E+05 
4.7815695E+00 -5.4522344E+05 
4.7896657E+00 -5.1701878E+05 
4.7977619E+00 -5.1769012E+05 
4.8058581E+00 -5.2135078E+05 
4.8139544E+00 -5.1964606E+05 
4.8220506E+00 -5.0805878E+05 
4.8301468E+00 -5.2097134E+05 
4.8382435E+00 -4.9321778E+05 
4.8463397E+00 -5.0707456E+05 
4.8544359E+00 -5.0273966E+05 
4.8625321E+00 -4.8578981E+05 
4.8706284E+00 -4.7833159E+05 
4.8787246E+00 -5.0261203E+05 
4.8868208E+00 -4.9531172E+05 
4.8949170E+00 -4.7432753E+05 
4.9030132E+00 -4.4439047E+05 
4.9111094E+00 -4.6706128E+05 
4.9192061E+00 -4.6443881E+05 
4.9273024E+00 -4.5569369E+05 
4.9353986E+00 -4.6332153E+05 
4.9434948E+00 -4.2124428E+05 
4.9515910E+00 -4.4378247E+05 
4.9596872E+00 -3.9832750E+05 
4.9677835E+00 -3.9246856E+05 
4.9758797E+00 -3.9357453E+05 
4.9839759E+00 -4.2521191E+05 
4.9920721E+00 -3.5129353E+05 
5.0001688E+00 -3.5673884E+05 
5.0082650E+00 -3.8202638E+05 
5.0163612E+00 -4.1233103E+05 
5.0244575E+00 -4.2074309E+05 
5.0325537E+00 -4.2544419E+05 
5.0406499E+00 -4.9873828E+05 
5.0487461E+00 -4.0349994E+05 
5.0568423E+00 -4.6637316E+05 
5.0649385E+00 -4.8664509E+05 
